,feature,importance_gain,importance_split,trn_score
0,event,12422289.003448486,444,6.397458011825816
1,AMOUNT_REQ,4827072.070587158,1245,6.397458011825816
2,resource,2787983.2339019775,588,6.397458011825816
3,duration,671025.7409210205,188,6.397458011825816
4,allDuration,13148817.350021362,1192,6.397458011825816
5,month,2843928.1946258545,554,6.397458011825816
6,day,3798524.035812378,934,6.397458011825816
7,week,977838.7951049805,331,6.397458011825816
8,hour,1747397.0296020508,524,6.397458011825816
9,year,0.0,0,6.397458011825816
