,feature,importance_gain,importance_split,trn_score,run
0,event,282976.7716445923,439,9.413374667378601,1
1,AMOUNT_REQ,620449.2918205261,951,9.413374667378601,1
2,resource,434859.31257247925,645,9.413374667378601,1
3,duration,615869.1342010498,881,9.413374667378601,1
4,allDuration,860553.8051872253,1162,9.413374667378601,1
5,month,176870.23667907715,279,9.413374667378601,1
6,day,450890.1651535034,683,9.413374667378601,1
7,week,215235.1836051941,329,9.413374667378601,1
8,hour,422088.2017288208,631,9.413374667378601,1
9,year,0.0,0,9.413374667378601,1
0,event,264577.1938781738,413,9.415289566520073,2
1,AMOUNT_REQ,610827.417766571,939,9.415289566520073,2
2,resource,490698.31899642944,715,9.415289566520073,2
3,duration,600115.819103241,870,9.415289566520073,2
4,allDuration,769955.4224052429,1071,9.415289566520073,2
5,month,214347.0737876892,318,9.415289566520073,2
6,day,521817.11361694336,773,9.415289566520073,2
7,week,218348.12380218506,342,9.415289566520073,2
8,hour,357890.29499816895,559,9.415289566520073,2
9,year,0.0,0,9.415289566520073,2
0,event,275086.03143692017,445,9.421732747123619,3
1,AMOUNT_REQ,562689.4862632751,924,9.421732747123619,3
2,resource,461218.6425819397,691,9.421732747123619,3
3,duration,617331.3036117554,914,9.421732747123619,3
4,allDuration,748293.4823570251,1080,9.421732747123619,3
5,month,179819.36365509033,281,9.421732747123619,3
6,day,465368.5838737488,734,9.421732747123619,3
7,week,195138.04138183594,321,9.421732747123619,3
8,hour,398718.002620697,610,9.421732747123619,3
9,year,0.0,0,9.421732747123619,3
0,event,275162.05531692505,405,9.42310114114375,4
1,AMOUNT_REQ,615758.9252243042,962,9.42310114114375,4
2,resource,449015.95945739746,695,9.42310114114375,4
3,duration,587764.1698493958,890,9.42310114114375,4
4,allDuration,767240.3954238892,1130,9.42310114114375,4
5,month,199986.36337280273,294,9.42310114114375,4
6,day,446433.62491989136,702,9.42310114114375,4
7,week,214740.0057067871,330,9.42310114114375,4
8,hour,382120.8077964783,592,9.42310114114375,4
9,year,0.0,0,9.42310114114375,4
0,event,303196.7942047119,456,9.414875356589425,5
1,AMOUNT_REQ,605466.3936920166,925,9.414875356589425,5
2,resource,407661.2767906189,622,9.414875356589425,5
3,duration,663454.1496162415,951,9.414875356589425,5
4,allDuration,751593.9337654114,1098,9.414875356589425,5
5,month,210704.11527252197,306,9.414875356589425,5
6,day,486809.288898468,743,9.414875356589425,5
7,week,191958.18589782715,307,9.414875356589425,5
8,hour,405039.06156539917,592,9.414875356589425,5
9,year,0.0,0,9.414875356589425,5
0,event,320563.85469436646,453,9.408784648320468,6
1,AMOUNT_REQ,673806.8315505981,978,9.408784648320468,6
2,resource,501124.97412490845,720,9.408784648320468,6
3,duration,586676.0598068237,822,9.408784648320468,6
4,allDuration,797574.6214485168,1082,9.408784648320468,6
5,month,208730.65370178223,293,9.408784648320468,6
6,day,518792.934173584,746,9.408784648320468,6
7,week,239132.5482711792,333,9.408784648320468,6
8,hour,389751.03885269165,573,9.408784648320468,6
9,year,0.0,0,9.408784648320468,6
0,event,292292.38578796387,423,9.411189802409277,7
1,AMOUNT_REQ,594781.4352912903,891,9.411189802409277,7
2,resource,494771.9168128967,702,9.411189802409277,7
3,duration,658801.8894386292,951,9.411189802409277,7
4,allDuration,821523.0934028625,1162,9.411189802409277,7
5,month,203001.90842056274,305,9.411189802409277,7
6,day,482839.1539955139,713,9.411189802409277,7
7,week,197798.10892868042,307,9.411189802409277,7
8,hour,349858.5593032837,546,9.411189802409277,7
9,year,0.0,0,9.411189802409277,7
0,event,268474.3447036743,417,9.417219674906645,8
